joined,left,difference
1873-11-05,1874-02-21,108
1873-11-05,1874-02-21,108
1874-05-27,1874-08-05,70
1873-11-05,1874-02-21,108
1873-11-05,1874-02-21,108
1874-08-15,1874-10-24,70
1874-08-15,1874-10-24,70
1874-08-15,1874-10-27,73
1874-05-26,1874-07-24,59
1874-05-26,1874-07-24,59
1874-08-15,1874-10-24,70
1874-05-26,1874-07-24,59
1874-10-24,1874-11-05,12
1874-10-24,1874-11-05,12
1874-10-24,1874-11-19,26
1874-10-24,1874-11-20,27
1874-10-24,1874-11-19,26
1876-05-05,1876-06-17,43
1876-06-23,1876-07-25,32
1876-07-01,1876-09-26,87
1876-07-01,1876-09-26,87
1876-07-20,1876-09-26,68
1876-07-20,1876-09-26,68
1876-07-01,1876-09-26,87
1876-07-01,1876-09-26,87
1876-07-20,1876-09-26,68
1876-07-20,1876-09-26,68
1876-07-01,1876-07-20,19
1876-07-21,1876-08-14,24
1863-02-2,1863-03-30,56
1863-02-2,1863-03-27,53
1863-01-01,1863-3-30,88
1863-02-2,1863-02-25,23
1863-01-01,1863-03-30,88
1876-07-20,1876-08-14,25
1876-07-20,1876-07-20,0
1863-04-01,1863-05-13,42
1863-05-15,1863-06-25,41
1863-03-29,1863-03-30,1
1863-03-15,1863-06-25,102
1863-02-27,1863-03-27,28
1863-04-01,1863-05-13,42
1863-04-18,1863-06-30,73
1863-04-01,1863-05-13,42
1863-06-26,1863-06-03,23
1863-11-13,1863-12-07,24
1863-08-24,1863-11-12,80
1863-08-24,1863-11-12,80
1864-04-22,1864-06-01,40
1864-02-22,1864-11-11,263
1864-02-22,1864-04-16,54
1864-07-22,1864-08-25,34
1864-07-01,1864-11-01,123
1864-07-01,1864-07-15,14
1864-07-01,1864-07-15,14
1864-11-06,1864-11-29,23
1867-04-06,1867-04-03,3
1867-04-03,1867-04-03,0
1867-04-15,1867-05-22,37
1867-05-04,1867-06-15,42
1867-06-01,1867-06-27,26
1867-03-05,1867-04-01,27
1867-05-03,1867-06-18,46
1867-03-08,1867-06-28,112
1868-04-07,1868-06-30,84
1868-02-29,1868-06-30,122
1868-02-19,1868-05-09,80
1869-05-10,1868-06-03,341
1868-07-31,1868-09-19,50
